adc0_stamp,adc1_stamp,adc2_stamp,adc3_stamp,rpy_stamp,translation_stamp,quaternion_stamp,adc0_data0,adc0_data1,adc0_data2,adc0_data3,adc0_data4,adc0_data5,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc0_data13,adc0_data14,adc0_data15,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data12,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data3,adc2_data4,adc2_data5,adc2_data6,adc2_data7,adc2_data8,adc2_data9,adc2_data10,adc2_data11,adc2_data12,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data1,adc3_data2,adc3_data3,adc3_data4,adc3_data5,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data10,adc3_data11,adc3_data12,adc3_data13,adc3_data14,adc3_data15,rpy_x,rpy_y,rpy_z,translation_x,translation_y,translation_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1719433754.5277898,1719433754.5541186,1719433754.5428126,1719433754.5497885,1719433754.5624998,1719433754.5624642,1719433754.5624714,627,627,627,627,627,623,628,628,171,396,627,626,360,625,624,624,341,629,292,477,629,219,289,169,536,542,461,318,624,170,628,170,628,432,215,629,411,320,293,627,332,409,624,506,624,620,452,377,626,626,626,626,626,626,627,627,529,534,622,622,623,627,622,622,20.7686,80.1432,18.3018,0.016421900000000003,0.0357471,0.0123135,0.0354774,0.6470779999999999,0.00514901,0.76158
1719433754.63579,1719433754.6621187,1719433754.6508126,1719433754.6587884,1719433754.662471,1719433754.6624591,1719433754.6624644,626,627,627,627,627,623,628,628,175,396,627,626,362,625,624,624,339,628,291,477,629,217,290,169,534,541,461,318,625,170,628,170,628,432,215,629,412,320,292,627,331,408,624,504,624,605,443,378,626,626,626,626,626,626,627,627,532,537,622,622,623,627,622,622,20.9236,81.0509,18.3133,0.0169572,0.0369025,0.013932,0.034579,0.652805,0.00246546,0.756732
1719433754.7437894,1719433754.7701185,1719433754.7588131,1719433754.7657886,1719433754.7626278,1719433754.7625241,1719433754.7625325,626,627,627,626,627,623,628,628,177,395,627,626,362,625,624,624,339,629,291,477,629,216,291,169,535,541,462,318,625,170,628,169,628,433,216,629,411,320,292,627,330,408,624,505,624,597,437,379,626,626,626,626,626,626,627,627,532,538,622,622,623,627,622,622,21.5952,81.649,18.9469,0.0157373,0.037252,0.0147514,0.0341346,0.656745,0.00154115,0.753339
1719433754.8517895,1719433754.8781185,1719433754.8668127,1719433754.8747885,1719433754.8624554,1719433754.862446,1719433754.86245,627,627,627,627,627,623,628,628,176,394,627,626,361,625,624,624,340,629,291,478,629,217,292,169,538,539,461,318,625,170,628,170,628,432,215,629,411,320,291,627,329,409,624,504,624,594,435,380,626,626,626,626,626,626,627,627,532,537,622,622,623,627,622,622,23.0967,82.0636,20.4861,0.0146964,0.0382398,0.0157668,0.0342349,0.659791,0.00209639,0.7506659999999999
1719433754.9607894,1719433754.9871185,1719433754.9748127,1719433754.9827886,1719433754.9624784,1719433754.9624646,1719433754.9624698,626,627,627,627,627,623,628,628,176,394,627,626,360,625,624,624,339,629,290,477,629,218,292,169,541,538,462,318,625,170,628,169,628,433,216,629,411,322,290,627,329,409,624,505,624,594,434,381,626,626,626,626,626,626,627,627,531,538,622,622,623,627,622,622,24.529,82.3538,21.934,0.0158216,0.0370122,0.0165155,0.034572900000000004,0.662028,0.00262118,0.748677
1719433755.0677898,1719433755.0941186,1719433755.0828128,1719433755.0907884,1719433755.0625136,1719433755.0624983,1719433755.0625038,627,627,627,627,627,623,628,628,175,394,627,626,358,625,624,624,341,629,291,477,629,220,292,169,542,537,462,317,625,170,628,170,628,432,216,629,410,323,290,627,329,410,624,505,624,597,436,382,626,626,626,626,626,626,627,627,531,537,622,622,623,627,622,622,25.1253,82.3209,22.5649,0.0152424,0.0373355,0.017778099999999998,0.034904500000000005,0.662036,0.00337922,0.7486520000000001
1719433755.1767898,1719433755.2031186,1719433755.1908126,1719433755.1987884,1719433755.1624706,1719433755.1624591,1719433755.1624634,626,627,627,627,627,623,628,628,176,394,627,626,356,625,624,624,343,628,293,476,629,218,291,169,536,535,461,316,625,170,628,170,628,434,216,629,408,327,294,627,329,413,624,505,624,597,439,383,626,626,626,626,626,626,627,627,530,536,622,622,623,627,622,622,23.7716,81.8704,21.2053,0.0157355,0.038426,0.0166176,0.0349668,0.65884,0.00337686,0.751463
1719433290.6299605,1719433290.6616359,1719433290.6296153,1719433290.683417,1719433290.623166,1719433290.623154,1719433290.623159,626,524,626,626,626,623,433,331,184,541,626,622,514,624,624,623,547,340,407,393,523,313,405,184,566,541,615,327,624,216,628,170,460,596,628,629,476,479,627,627,318,487,624,381,624,175,436,325,613,625,626,353,621,626,547,627,626,461,622,622,623,626,622,622,-20.3467,1.09443,-26.4428,0.00314862,-0.00472778,-0.00175197,-0.169787,0.0495464,-0.223466,0.95853
1719433290.7389607,1719433290.7742784,1719433290.7376153,1719433290.7914176,1719433290.7231994,1719433290.723175,1719433290.723185,626,524,626,626,626,623,434,330,188,541,626,622,514,624,623,623,549,337,408,393,523,311,406,183,570,541,620,327,624,220,628,170,457,595,628,629,475,478,627,627,318,488,624,382,624,173,434,327,612,625,626,353,623,626,546,627,626,463,622,622,623,626,622,622,-20.8327,1.08694,-26.5536,0.00319929,-0.00558024,-0.00195406,-0.173817,0.050599300000000014,-0.224191,0.957583
1719433290.8459606,1719433290.883278,1719433290.8456154,1719433290.8994172,1719433290.823138,1719433290.8231044,1719433290.8231096,626,524,626,626,626,623,435,331,192,541,626,622,512,624,623,623,550,335,409,393,523,311,406,182,572,541,623,326,624,223,628,169,455,594,628,628,475,476,627,627,317,489,624,382,624,172,433,328,611,625,626,352,623,626,546,627,626,464,622,622,623,626,622,622,-21.1483,1.09546,-26.6538,0.00251078,-0.00549218,-0.002153,-0.17639200000000002,0.051442,-0.224875,0.956907
1719433290.9549606,1719433290.990278,1719433290.9536154,1719433291.0074172,1719433291.0231662,1719433291.023147,1719433291.023155,626,524,626,626,626,623,434,329,194,541,626,622,512,624,624,623,551,334,410,394,523,310,407,182,574,541,625,326,624,223,628,170,454,595,628,629,476,476,627,627,319,488,624,383,624,171,431,329,610,625,626,352,623,626,547,627,626,464,622,622,623,626,622,622,-21.6545,0.925719,-26.772,0.00267228,-0.00595834,-0.00126121,-0.180902,0.0512064,-0.225905,0.955834
1719433291.0629606,1719433291.099278,1719433291.0616155,1719433291.1154172,1719433291.1231468,1719433291.1231346,1719433291.1231394,626,524,626,626,626,623,432,332,195,541,626,622,510,624,624,623,542,351,406,391,517,319,402,192,568,538,618,325,624,208,628,170,457,592,628,628,475,473,627,627,317,489,624,382,624,175,432,332,616,625,626,365,612,626,542,627,626,460,622,622,623,626,622,622,-20.0657,1.03607,-26.6889,0.00334255,-0.00597333,-0.00152062,-0.167448,0.0488701,-0.225733,0.958445
1719433305.5738108,1719433305.61237,1719433305.5726779,1719433305.6278427,1719433305.6231575,1719433305.6231425,1719433305.623149,626,626,626,626,626,623,628,441,348,437,458,622,480,624,624,623,537,425,383,454,346,270,309,169,567,548,586,264,624,241,621,169,439,575,617,629,391,548,627,627,356,511,624,369,624,342,559,396,626,626,626,626,626,626,622,553,619,443,622,622,623,626,622,622,-20.1576,21.4674,-2.88754,0.0006634639999999999,-0.00353748,-0.00197589,-0.167266,0.187644,0.00820995,0.967855
