adc0_stamp,adc1_stamp,adc2_stamp,adc3_stamp,rpy_stamp,translation_stamp,quaternion_stamp,adc0_data0,adc0_data1,adc0_data2,adc0_data3,adc0_data4,adc0_data5,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc0_data13,adc0_data14,adc0_data15,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data12,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data3,adc2_data4,adc2_data5,adc2_data6,adc2_data7,adc2_data8,adc2_data9,adc2_data10,adc2_data11,adc2_data12,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data1,adc3_data2,adc3_data3,adc3_data4,adc3_data5,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data10,adc3_data11,adc3_data12,adc3_data13,adc3_data14,adc3_data15,rpy_x,rpy_y,rpy_z,translation_x,translation_y,translation_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1719431521.9004283,1719431521.8863184,1719431521.9280078,1719431521.9485438,1719431521.9621236,1719431521.962108,1719431521.962114,626,566,512,567,626,623,480,409,321,423,377,622,490,624,624,623,499,606,363,469,376,446,353,257,536,556,556,267,625,170,580,223,573,530,628,613,505,581,627,627,291,538,624,409,624,380,572,409,527,626,435,618,610,626,552,586,591,454,623,463,624,627,622,623,-1.37589,-0.678823,-0.632032,0.00212408,-0.0047098,0.00309857,-0.0120389,-0.00585708,-0.00558612,0.999895
1719431522.0094285,1719431521.9953184,1719431522.040734,1719431522.0595438,1719431522.0620823,1719431522.0620563,1719431522.0620673,626,563,480,555,626,623,468,395,316,415,363,622,486,624,624,623,497,605,360,461,373,442,346,253,520,556,545,271,625,170,581,220,575,530,628,613,515,575,627,627,290,539,624,406,624,377,571,403,513,626,430,605,603,626,550,563,587,453,623,461,623,627,622,623,-1.44868,-0.696545,-0.582569,0.00228631,-0.00380786,0.00312644,-0.0126723,-0.00601364,-0.0051602,0.999888
1719431522.4492226,1719431522.4273183,1719431522.472734,1719431522.4925373,1719431522.462067,1719431522.4620247,1719431522.4620297,626,553,423,517,626,623,442,357,299,396,341,622,476,624,624,623,489,593,355,440,369,421,326,236,464,556,512,288,625,170,589,198,577,526,628,606,506,548,627,627,291,538,624,399,624,367,568,386,473,626,414,569,583,626,541,513,580,449,623,466,624,627,622,623,-1.49023,-0.718999,-0.605902,0.0027635,-0.00449274,0.00371376,-0.0130371,-0.00620503,-0.00536851,0.999881
1719431522.5572226,1719431522.5383184,1719431522.580734,1719431522.6005373,1719431522.5620441,1719431522.562034,1719431522.562038,626,553,425,517,626,623,441,356,298,396,342,622,476,624,624,623,489,594,355,441,369,421,327,238,464,555,510,291,624,170,589,198,577,527,628,607,508,552,627,627,293,538,624,399,624,367,568,387,472,626,416,569,584,626,542,514,580,448,622,467,623,627,622,623,-1.50438,-0.720302,-0.652306,0.0025391,-0.00488871,0.00366352,-0.0131631,-0.00621041,-0.00577432,0.999877
1719431522.6652226,1719431522.6497788,1719431522.688734,1719431522.708537,1719431522.6620553,1719431522.662046,1719431522.66205,626,552,422,515,626,623,440,354,297,395,340,622,475,624,624,623,488,593,355,440,369,419,326,237,462,555,507,291,624,170,590,197,577,526,628,606,507,549,627,627,292,538,624,399,624,366,568,386,468,626,415,566,583,626,542,510,578,448,623,467,624,627,622,623,-1.50211,-0.722085,-0.64906,0.00226082,-0.00513764,0.00320676,-0.0131432,-0.00622645,-0.00574608,0.999878
1719431522.7732227,1719431522.757779,1719431522.796734,1719431522.8165371,1719431522.7620718,1719431522.7620547,1719431522.762061,626,552,420,514,626,623,438,352,297,393,339,622,475,624,624,623,487,594,355,440,369,420,326,238,460,554,505,293,624,170,591,197,579,526,628,605,507,549,627,627,294,538,624,399,624,366,568,386,464,626,412,564,581,626,541,504,578,447,623,468,624,627,622,623,-1.49509,-0.721822,-0.634045,0.00247127,-0.00495994,0.0033388,-0.0130812,-0.00622623,-0.00561466,0.999879
1719431522.8812225,1719431522.8657787,1719431522.904734,1719431522.9245372,1719431522.862033,1719431522.8620229,1719431522.8620267,626,552,415,511,626,623,437,349,296,392,337,622,473,624,624,623,487,594,354,438,368,419,324,237,457,554,502,294,624,170,592,197,579,525,628,605,505,547,627,627,294,538,624,398,624,366,567,384,461,626,408,561,579,626,539,498,577,447,623,469,623,627,622,623,-1.48604,-0.718145,-0.571321,0.00286349,-0.00459072,0.00387037,-0.0129986,-0.0062017,-0.00506645,0.999883
1719431522.9892225,1719431522.9737787,1719431523.012734,1719431523.0325372,1719431522.9620855,1719431522.962068,1719431522.9620757,626,551,409,510,626,623,435,345,295,390,335,622,473,624,624,623,485,593,354,437,367,418,323,236,456,554,500,295,624,170,592,197,580,524,628,603,504,543,627,627,294,539,624,398,624,365,566,384,457,626,405,560,577,626,538,493,576,447,623,471,624,627,622,623,-1.47479,-0.721786,-0.510886,0.00258056,-0.00424686,0.00347036,-0.0128973,-0.00624077,-0.00453891,0.999887
1719431523.0972226,1719431523.0817788,1719431523.121734,1719431523.1405373,1719431523.061996,1719431523.0619876,1719431523.0619912,626,553,409,510,627,623,435,344,295,390,334,626,473,625,624,624,485,595,354,436,367,418,322,236,454,553,498,296,624,170,593,198,579,525,628,604,504,546,627,627,295,539,624,397,624,365,567,384,456,626,406,559,578,626,539,493,575,446,623,472,623,627,622,623,-1.449,-0.715252,-0.441585,0.00255432,-0.00410355,0.00349546,-0.0126683,-0.00619244,-0.00393209,0.999893
1719431523.2052226,1719431523.1897788,1719431523.228734,1719431523.2495372,1719431523.262045,1719431523.2620344,1719431523.262039,626,553,410,510,627,623,434,344,295,390,334,626,473,625,624,624,484,593,354,437,367,416,322,235,455,553,497,297,624,170,593,198,579,525,628,603,505,545,627,627,295,539,624,397,624,365,566,384,454,626,407,559,579,626,539,495,575,445,623,472,624,627,622,623,-1.48534,-0.712723,-0.465297,0.00294775,-0.00432767,0.00333211,-0.0129865,-0.00616644,-0.00414066,0.999888
