adc0_stamp,adc1_stamp,adc2_stamp,adc3_stamp,rpy_stamp,translation_stamp,quaternion_stamp,adc0_data0,adc0_data1,adc0_data2,adc0_data3,adc0_data4,adc0_data5,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc0_data13,adc0_data14,adc0_data15,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data12,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data3,adc2_data4,adc2_data5,adc2_data6,adc2_data7,adc2_data8,adc2_data9,adc2_data10,adc2_data11,adc2_data12,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data1,adc3_data2,adc3_data3,adc3_data4,adc3_data5,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data10,adc3_data11,adc3_data12,adc3_data13,adc3_data14,adc3_data15,rpy_x,rpy_y,rpy_z,translation_x,translation_y,translation_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1719433899.455335145,1719433899.402678464,1719433899.398365697,1719433899.425479700,1719433899.401786446,1719433899.401778175,1719433899.401782119,626,566,541,594,626,623,510,454,296,446,623,622,492,624,623,623,492,622,361,480,340,450,352,280,590,546,576,236,625,189,558,242,556,535,629,611,518,628,626,627,336,543,624,427,624,397,583,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.41659,-0.217988,0.0358712,0.000838921,0.00094634,0.000940665,0.00363602,-0.00190116,0.000319948,0.999992
1719433899.563335145,1719433899.510678464,1719433899.508365697,1719433899.534479700,1719433899.501860784,1719433899.501852401,1719433899.501855981,626,566,541,593,626,623,510,454,296,447,623,622,492,624,623,623,492,622,362,480,340,449,351,280,590,547,577,236,625,189,558,242,557,535,629,611,517,628,627,627,336,543,624,427,624,396,583,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.415206,-0.219855,0.0398677,0.000653389,0.0010641,0.000730953,0.003624,-0.00191732,0.00035486,0.999992
1719433899.671335145,1719433899.618678464,1719433899.617825252,1719433899.641479700,1719433899.601892269,1719433899.601873075,1719433899.601881763,626,566,542,594,626,623,510,454,296,447,623,622,492,624,623,623,493,622,362,479,340,449,352,280,590,546,576,236,625,189,558,242,557,536,629,611,517,628,627,627,336,543,624,427,624,397,583,422,626,626,394,626,626,626,573,627,598,487,622,623,623,627,622,622,0.411662,-0.220771,0.0348153,0.00046113,0.000880008,0.000898595,0.003593,-0.00192548,0.000310739,0.999992
1719433899.779335145,1719433899.727678464,1719433899.725825252,1719433899.750479700,1719433899.701839416,1719433899.701819478,1719433899.701828704,626,566,541,594,626,623,510,454,296,447,623,622,492,624,623,623,492,622,361,480,340,449,352,280,590,546,576,235,625,189,558,242,557,536,629,611,517,628,627,627,336,543,624,427,624,397,583,422,626,626,394,626,626,626,573,627,599,487,622,622,623,627,622,622,0.406258,-0.220747,0.0352131,0.000308632,0.00092683,3.21356e-05,0.00354585,-0.00192528,0.000314119,0.999992
1719433899.887335145,1719433899.834678464,1719433899.833825252,1719433899.858479700,1719433899.901793664,1719433899.901785854,1719433899.901789467,626,566,541,594,626,623,510,455,295,447,623,622,492,624,623,623,492,622,361,479,340,450,352,280,590,546,576,235,624,189,557,242,556,536,629,611,517,628,627,627,336,543,624,427,624,397,583,422,626,626,395,626,626,626,573,627,598,487,622,622,623,627,622,622,0.404246,-0.218616,0.0408408,0.000649764,0.00112284,0.000979237,0.00352838,-0.00190651,0.00036313,0.999992
1719433899.995335145,1719433899.943678464,1719433899.941825252,1719433899.969479700,1719433900.001847267,1719433900.001840022,1719433900.001843399,626,566,542,593,626,623,510,454,296,447,623,622,492,624,623,623,492,622,362,480,340,449,351,280,590,546,576,235,625,189,558,242,557,536,629,611,518,628,627,627,336,543,624,427,624,397,584,422,626,626,394,626,626,626,573,627,598,487,622,623,623,627,622,622,0.401072,-0.213353,0.046147,0.000863328,0.00140848,-0.000218252,0.00350075,-0.00186043,0.000409222,0.999992
1719433900.103335145,1719433900.050678464,1719433900.049825252,1719433900.079441602,1719433900.101779286,1719433900.101772247,1719433900.101775586,626,566,541,594,626,623,510,454,296,447,623,622,492,624,623,623,492,622,361,479,340,449,352,280,590,546,576,236,624,189,558,242,557,536,628,611,517,628,627,627,336,543,624,427,624,397,583,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.401592,-0.21543,0.039658,0.000772615,0.00105969,0.000933629,0.00350518,-0.00187876,0.000352667,0.999992
1719433900.211335145,1719433900.159678464,1719433900.157825252,1719433900.187441602,1719433900.201821175,1719433900.201813033,1719433900.201816387,626,567,542,594,626,623,510,454,295,447,623,622,492,624,623,623,492,622,362,479,340,449,352,280,590,547,576,236,625,189,558,242,557,536,629,611,517,628,627,627,336,543,624,427,624,397,583,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.4068,-0.210626,0.0441162,0.000872783,0.00121996,0.000886464,0.00355069,-0.00183668,0.000391509,0.999992
1719433900.320335145,1719433900.266678464,1719433900.265825252,1719433900.295441602,1719433900.301811762,1719433900.301801726,1719433900.301806410,626,566,542,593,626,623,510,455,296,447,623,622,492,624,623,623,492,622,361,479,340,449,352,280,590,546,576,235,625,189,558,242,557,536,629,612,517,628,627,627,336,543,624,427,624,397,584,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.408419,-0.214803,0.0432227,0.000869921,0.00123302,-5.09894e-05,0.00356482,-0.00187315,0.000383867,0.999992
1719433900.427335145,1719433900.375678464,1719433900.373825252,1719433900.403441602,1719433900.401783934,1719433900.401776093,1719433900.401779703,626,566,542,593,626,623,510,455,296,447,623,622,492,624,623,623,492,622,362,479,340,450,352,280,590,546,576,236,625,189,558,243,557,536,629,611,517,628,627,627,336,543,624,427,624,397,583,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.413748,-0.216247,0.0392995,0.000732894,0.00103403,0.000943112,0.00361126,-0.00188586,0.000349764,0.999992
1719433900.536335145,1719433900.482678464,1719433900.481825252,1719433900.511441602,1719433900.501819923,1719433900.501813015,1719433900.501816176,626,566,542,594,626,623,510,455,295,447,623,622,492,624,623,623,492,622,361,479,340,449,352,280,590,546,576,236,624,189,558,242,557,536,629,611,517,628,627,627,336,543,624,427,624,398,583,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.41173,-0.215086,0.0398478,0.000693777,0.00109612,0.000912826,0.00359366,-0.00187571,0.000354479,0.999992
1719433900.643335145,1719433900.591678464,1719433900.590825252,1719433900.619441602,1719433900.601828803,1719433900.601819440,1719433900.601822986,626,566,542,594,626,623,510,454,296,446,623,622,492,624,623,623,492,622,362,479,340,449,352,281,590,546,577,235,625,189,558,242,557,536,629,611,517,628,627,627,336,543,624,427,624,397,583,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.40792,-0.211039,0.0421879,0.000763077,0.00105316,2.94815e-05,0.00356043,-0.00184034,0.000374712,0.999992
1719433900.752335145,1719433900.698678464,1719433900.697825252,1719433900.727441602,1719433900.701820241,1719433900.701813430,1719433900.701816386,626,566,541,594,626,623,510,455,296,447,623,622,493,624,623,623,492,622,361,480,340,450,352,280,590,546,576,236,624,189,558,242,557,536,629,611,517,628,627,627,336,543,624,427,624,397,584,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.405617,-0.210006,0.0412749,0.000752982,0.00111853,0.000754559,0.00354033,-0.00183136,0.000366675,0.999992
1719433900.860335145,1719433900.807678464,1719433900.806825252,1719433900.835441602,1719433900.801817922,1719433900.801810710,1719433900.801813912,626,566,542,594,626,623,510,455,296,447,623,622,492,624,623,623,492,622,362,480,340,450,352,280,590,547,577,235,624,189,557,242,556,536,629,611,517,628,627,627,336,543,624,427,624,397,584,422,626,626,395,626,626,626,573,627,598,487,622,622,623,627,622,622,0.407584,-0.209363,0.0468651,0.000688272,0.00101893,-0.000226824,0.00355757,-0.00182557,0.00041547,0.999992
1719433900.970335145,1719433900.914678464,1719433900.913825252,1719433900.943441602,1719433900.901834913,1719433900.901815087,1719433900.901823849,626,566,542,594,626,623,510,455,296,447,623,622,492,624,623,623,492,622,361,479,340,449,352,280,590,547,576,235,624,189,557,243,557,536,629,612,517,628,627,627,336,543,624,427,624,397,584,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.39353,-0.210708,0.0478269,0.000373463,0.00141968,-0.000440633,0.00343496,-0.00183733,0.00042368,0.999992
1719433901.082976396,1719433901.023678464,1719433901.022825252,1719433901.051441602,1719433901.101877343,1719433901.101855977,1719433901.101865536,626,566,541,594,626,623,510,455,296,447,623,622,492,624,623,623,491,621,362,479,340,449,352,280,590,547,576,236,625,190,558,243,557,536,629,611,517,628,627,627,336,543,624,427,624,397,584,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.415038,-0.209703,0.0406895,0.000730749,0.000970393,2.73594e-05,0.00362252,-0.0018287,0.000361708,0.999992
1719433901.190976396,1719433901.130678464,1719433901.129825252,1719433901.159441602,1719433901.201853536,1719433901.201832341,1719433901.201841767,626,566,542,594,626,623,510,455,296,447,623,622,492,624,623,623,492,622,362,479,340,449,352,280,590,546,577,235,625,189,558,242,557,535,629,611,517,628,627,627,336,543,624,427,624,397,583,422,626,626,394,626,626,626,573,627,598,487,622,622,623,627,622,622,0.404995,-0.206592,0.0390458,0.000671186,0.000981007,0.000738581,0.00353485,-0.00180164,0.000347108,0.999992
