adc0_stamp,adc1_stamp,adc2_stamp,adc3_stamp,rpy_stamp,translation_stamp,quaternion_stamp,adc0_data0,adc0_data1,adc0_data2,adc0_data3,adc0_data4,adc0_data5,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc0_data13,adc0_data14,adc0_data15,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data12,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data3,adc2_data4,adc2_data5,adc2_data6,adc2_data7,adc2_data8,adc2_data9,adc2_data10,adc2_data11,adc2_data12,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data1,adc3_data2,adc3_data3,adc3_data4,adc3_data5,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data10,adc3_data11,adc3_data12,adc3_data13,adc3_data14,adc3_data15,rpy_x,rpy_y,rpy_z,translation_x,translation_y,translation_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1719431509.450502285,1719431509.425541435,1719431509.477073087,1719431509.500169761,1719431509.462070346,1719431509.462047515,1719431509.462057621,626,590,586,626,626,623,529,456,339,438,400,622,499,624,624,623,505,628,370,496,377,479,370,279,628,554,597,254,624,170,581,267,572,537,628,619,539,621,627,627,347,537,624,424,624,407,587,452,620,626,444,626,626,626,564,627,601,459,623,479,624,627,622,623,-0.851203,-0.570133,0.0464317,0.000218007,-0.000338438,0.00234928,-0.00742597,-0.0049782,0.00036822,0.99996
1719431509.558502285,1719431509.535541435,1719431509.586073087,1719431509.608169761,1719431509.562074440,1719431509.562055198,1719431509.562063787,626,590,586,626,626,623,529,455,339,439,400,622,499,624,624,623,505,628,370,496,377,479,371,279,628,554,597,254,624,170,581,266,572,537,629,619,538,621,627,627,347,537,624,424,624,406,587,453,620,626,444,626,626,626,565,627,601,459,623,478,623,627,622,623,-0.847364,-0.57566,0.0462989,0.000345384,-0.000411502,0.00239322,-0.00739245,-0.00502641,0.000366871,0.99996
1719431509.666502285,1719431509.649629959,1719431509.693073087,1719431509.716169761,1719431509.662143629,1719431509.662125643,1719431509.662133585,626,591,585,626,626,623,529,456,339,439,400,622,499,624,624,623,505,628,370,496,377,478,371,279,628,554,597,253,624,170,581,266,572,537,628,620,538,621,627,627,347,537,624,424,624,406,587,452,620,626,444,626,626,626,564,627,601,459,623,479,623,627,622,623,-0.845515,-0.575462,0.0465028,0.000440809,-0.000412366,0.00260226,-0.00737632,-0.00502469,0.000368744,0.99996
1719431509.774502285,1719431509.757629959,1719431509.802073087,1719431509.824169761,1719431509.762179999,1719431509.762160081,1719431509.762168731,626,590,586,626,626,623,529,455,339,439,400,622,499,624,624,623,505,628,371,496,376,479,371,279,628,554,597,254,624,170,581,266,572,537,628,620,538,621,627,627,347,537,624,424,624,407,587,452,620,626,444,626,626,626,564,627,601,459,623,479,624,627,622,623,-0.845743,-0.57366,0.0479205,0.000235289,-0.000356763,0.00237155,-0.00737825,-0.00500906,0.000381222,0.99996
1719431509.882502285,1719431509.865629959,1719431509.909073087,1719431509.932169761,1719431509.862059219,1719431509.862037089,1719431509.862047426,626,590,586,626,626,623,529,455,339,439,400,622,499,624,624,623,504,628,370,496,377,479,371,280,628,554,597,254,624,170,581,267,572,537,628,620,538,621,627,627,347,537,624,424,624,407,587,453,620,626,444,626,626,626,565,627,601,459,622,478,623,627,622,623,-0.840299,-0.575644,0.0445242,0.000319202,-0.000439363,0.00250245,-0.00733088,-0.00502614,0.000351695,0.99996
1719431509.990502285,1719431509.973629959,1719431510.018073087,1719431510.040169761,1719431509.962095394,1719431509.962072257,1719431509.962082579,626,590,586,626,626,623,529,456,339,438,400,622,498,624,624,623,505,628,371,496,377,478,371,279,628,554,596,254,624,170,581,267,572,537,628,619,538,621,627,627,347,537,624,425,624,407,587,452,620,626,444,626,626,626,564,627,601,459,623,479,623,627,622,623,-0.844373,-0.57373,0.0376693,0.000486952,-0.000551369,0.00248985,-0.00736674,-0.00500901,0.000291822,0.99996
1719431510.098502285,1719431510.081629959,1719431510.125073087,1719431510.148169761,1719431510.162186766,1719431510.162164372,1719431510.162174398,626,590,586,626,626,623,529,456,339,439,400,622,499,624,624,623,505,628,370,496,377,479,371,279,628,554,596,254,624,170,581,267,572,537,628,619,538,621,627,627,347,537,624,425,624,406,587,453,620,626,444,626,626,626,565,627,601,459,623,478,623,627,622,623,-0.843879,-0.571708,0.0379364,0.000640475,-0.000557823,0.00241309,-0.00736242,-0.00499138,0.000294304,0.99996
1719431510.206502285,1719431510.189629959,1719431510.234073087,1719431510.256169761,1719431510.262127932,1719431510.262106785,1719431510.262116152,626,590,585,626,626,623,530,455,339,439,400,622,499,624,624,623,505,629,370,496,377,479,371,279,628,554,597,253,624,170,581,266,573,536,628,619,538,621,627,627,347,537,624,424,624,407,587,452,620,626,444,626,626,626,565,627,601,459,622,479,623,627,622,623,-0.844781,-0.571202,0.0386321,0.000591853,-0.000524877,0.00236444,-0.00737026,-0.00498701,0.000300368,0.99996
1719431510.314502285,1719431510.297629959,1719431510.341073087,1719431510.364169761,1719431510.362077560,1719431510.362057115,1719431510.362066355,626,590,586,626,626,623,529,455,339,438,400,622,499,624,624,623,505,628,371,496,377,479,371,279,628,554,597,254,624,170,581,266,572,536,628,619,538,621,627,627,347,537,624,424,624,406,587,452,620,626,444,626,626,626,564,627,601,459,622,479,624,627,622,623,-0.84896,-0.56992,0.0424818,0.000431033,-0.00042059,0.00236617,-0.00740657,-0.00497608,0.000333863,0.99996
1719431510.422502285,1719431510.405629959,1719431510.450073087,1719431510.472169761,1719431510.462171771,1719431510.462152340,1719431510.462161453,626,590,585,626,626,623,529,455,339,438,400,622,499,624,624,623,505,628,371,496,377,478,371,279,628,554,597,254,624,170,581,267,572,537,628,619,538,621,627,627,347,537,624,425,624,406,587,453,620,626,444,626,626,626,564,627,601,459,623,479,623,627,622,623,-0.852053,-0.568413,0.0419977,0.000183228,-0.000455126,0.00239684,-0.00743359,-0.00496291,0.000329602,0.99996
