adc0_stamp,adc1_stamp,adc2_stamp,adc3_stamp,rpy_stamp,translation_stamp,quaternion_stamp,adc0_data0,adc0_data1,adc0_data2,adc0_data3,adc0_data4,adc0_data5,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc0_data13,adc0_data14,adc0_data15,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data12,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data3,adc2_data4,adc2_data5,adc2_data6,adc2_data7,adc2_data8,adc2_data9,adc2_data10,adc2_data11,adc2_data12,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data1,adc3_data2,adc3_data3,adc3_data4,adc3_data5,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data10,adc3_data11,adc3_data12,adc3_data13,adc3_data14,adc3_data15,rpy_x,rpy_y,rpy_z,translation_x,translation_y,translation_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1719436636.757236608,1719436636.774724372,1719436636.734499820,1719436636.741887697,1719436636.766955789,1719436636.766890151,1719436636.766894521,625,548,532,625,599,622,537,513,622,621,622,621,490,624,623,622,622,626,623,491,372,533,377,300,622,622,624,624,622,298,622,273,577,502,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,232,621,624,624,560,625,621,620,621,621,622,622,621,621,2.61369,-4.07375,-0.209142,0.0031835,0.00164448,0.0189836,0.0227275,-0.0355749,-0.00101286,0.999108
1719436636.864236608,1719436636.881724372,1719436636.841499820,1719436636.848887697,1719436636.866999499,1719436636.866977260,1719436636.866986922,625,548,532,625,599,622,537,513,622,621,622,621,490,624,623,622,622,626,623,491,372,533,377,300,622,622,624,624,622,297,622,273,577,503,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,559,625,621,620,621,621,622,622,621,621,2.61733,-4.07217,-0.206335,0.00267144,0.00152322,0.0192087,0.0227601,-0.0355607,-0.000987576,0.999108
1719436636.973236608,1719436636.990724372,1719436636.950499820,1719436636.957887697,1719436636.966975597,1719436636.966938511,1719436636.966954755,625,548,532,625,599,622,537,512,622,621,622,621,490,624,623,622,622,626,623,491,372,533,376,300,622,622,624,624,622,298,622,273,577,502,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,232,621,624,624,560,625,621,620,621,621,622,622,621,621,2.62233,-4.07362,-0.210513,0.00324888,0.00148727,0.0191895,0.0228024,-0.0355742,-0.00102216,0.999106
1719436637.080236608,1719436637.097724372,1719436637.057499820,1719436637.064887697,1719436637.066996816,1719436637.066974639,1719436637.066984743,625,548,531,625,599,622,537,513,622,621,622,621,490,624,623,622,622,626,623,491,372,533,376,299,622,622,624,624,622,298,622,273,577,502,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,560,625,621,620,621,621,622,622,621,621,2.62107,-4.07372,-0.216886,0.00346841,0.00134296,0.0192556,0.0227894,-0.0355763,-0.0010781,0.999107
1719436637.189236608,1719436637.206724372,1719436637.166499820,1719436637.173887697,1719436637.166964864,1719436637.166954358,1719436637.166959254,625,547,532,625,599,622,537,513,622,621,622,621,490,623,623,622,622,626,623,491,371,533,376,300,622,622,624,624,622,298,622,273,578,503,626,619,506,601,625,625,623,623,622,621,622,621,622,622,624,624,232,621,624,624,560,625,621,621,621,621,622,622,621,621,2.62025,-4.07086,-0.217639,0.00335272,0.00129582,0.0192037,0.0227821,-0.0355515,-0.00108549,0.999108
1719436637.296236608,1719436637.313724372,1719436637.273499820,1719436637.280887697,1719436637.266860252,1719436637.266849765,1719436637.266854302,625,548,531,625,599,622,537,513,622,621,622,621,490,623,623,622,622,626,623,492,372,533,377,299,622,622,624,624,622,298,622,273,577,503,626,619,506,600,625,625,623,623,622,621,622,621,622,622,624,624,231,621,624,624,560,625,621,620,621,621,622,622,621,621,2.6202,-4.07285,-0.217442,0.00285086,0.00137683,0.0191154,0.0227817,-0.0355689,-0.00108339,0.999107
1719436637.405236608,1719436637.422724372,1719436637.382499820,1719436637.389887697,1719436637.366855462,1719436637.366845252,1719436637.366849655,625,548,531,625,599,622,536,513,622,621,622,621,490,623,623,622,622,626,623,491,372,534,376,300,622,622,624,624,622,298,622,273,578,503,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,559,625,621,620,621,621,622,622,621,621,2.61949,-4.07737,-0.205314,0.00324012,0.00140449,0.0192332,0.0227792,-0.0356058,-0.00097697,0.999106
1719436637.512236608,1719436637.529724372,1719436637.489499820,1719436637.496887697,1719436637.466888812,1719436637.466878439,1719436637.466882836,625,548,531,625,599,622,536,512,622,621,622,621,490,624,623,622,622,626,623,492,372,533,376,299,622,622,624,624,622,298,622,273,577,503,626,620,506,600,625,625,623,623,622,621,622,621,622,621,624,624,232,621,624,624,560,625,621,620,621,621,622,622,621,621,2.61738,-4.08592,-0.201719,0.00336904,0.00138314,0.0192966,0.0227617,-0.0356797,-0.000944573,0.999104
1719436637.621236608,1719436637.638724372,1719436637.598499820,1719436637.605887697,1719436637.666953131,1719436637.666944939,1719436637.666948559,625,548,532,625,599,622,537,512,622,621,622,621,490,623,623,623,622,626,623,492,372,533,376,299,622,622,624,624,622,298,622,273,577,502,626,619,506,601,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,559,625,621,620,621,621,622,622,621,621,2.62638,-4.08113,-0.20375,0.00334523,0.0014445,0.0193385,0.0228396,-0.0356383,-0.00096044,0.999103
1719436637.729236608,1719436637.746724372,1719436637.706499820,1719436637.713887697,1719436637.766844558,1719436637.766837627,1719436637.766840785,625,548,531,625,599,622,537,513,621,621,622,621,490,624,623,622,622,626,623,492,372,533,377,300,622,622,624,624,622,298,622,273,577,503,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,560,625,621,621,621,621,622,622,621,621,2.62921,-4.08775,-0.209031,0.00339784,0.00142457,0.0193164,0.0228625,-0.0356972,-0.00100427,0.999101
1719436637.837236608,1719436637.854724372,1719436637.814499820,1719436637.821887697,1719436637.866880217,1719436637.866873147,1719436637.866876275,625,547,531,625,599,622,537,512,622,621,622,621,490,624,623,622,622,626,623,491,372,533,376,300,622,622,624,624,622,298,622,273,577,502,626,619,507,600,625,625,623,623,622,621,622,621,622,622,624,624,232,621,624,624,559,625,621,620,621,621,622,622,621,621,2.6279,-4.09384,-0.208966,0.00328014,0.00136383,0.0194025,0.022851,-0.0357502,-0.00100289,0.999099
1719436637.945236608,1719436637.962724372,1719436637.922499820,1719436637.929887697,1719436637.966988098,1719436637.966979932,1719436637.966983945,625,548,531,625,599,622,537,512,621,621,622,621,490,624,623,622,622,626,623,491,371,533,377,300,622,622,624,624,622,297,622,273,577,503,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,232,621,624,624,559,625,621,620,621,621,622,622,621,621,2.62864,-4.08684,-0.214084,0.00309152,0.00147189,0.0193768,0.022856,-0.0356902,-0.00104868,0.999101
1719436638.053236608,1719436638.070724372,1719436638.030499820,1719436638.037887697,1719436638.066957669,1719436638.066950244,1719436638.066953651,625,548,531,625,599,622,537,512,622,621,622,621,490,624,623,623,622,626,623,491,372,533,376,300,622,622,624,624,622,298,622,273,577,503,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,560,625,621,620,621,621,622,622,621,621,2.62387,-4.08633,-0.215555,0.00340608,0.00137186,0.019246,0.0228139,-0.035686,-0.0010631,0.999102
1719436638.162236608,1719436638.179724372,1719436638.138499820,1719436638.145887697,1719436638.166892285,1719436638.166876255,1719436638.166883686,625,548,532,625,599,622,537,512,622,621,622,621,490,624,623,622,622,626,623,491,372,533,376,300,622,622,624,624,622,298,622,273,577,503,626,619,507,600,625,625,623,623,622,621,622,621,622,621,624,624,232,621,624,624,560,625,621,620,621,621,622,622,621,621,2.63291,-4.0819,-0.211316,0.00319423,0.00148181,0.019235,0.0228942,-0.0356466,-0.00102421,0.999102
1719436638.269236608,1719436638.286724372,1719436638.246499820,1719436638.253887697,1719436638.267032280,1719436638.267005647,1719436638.267017160,625,548,531,625,599,622,537,512,622,621,622,621,490,624,623,622,622,626,623,491,372,534,376,300,622,622,624,624,622,298,622,273,577,503,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,232,621,624,624,560,625,621,620,621,621,622,622,621,621,2.62846,-4.0852,-0.211721,0.00319012,0.00143506,0.0193607,0.0228552,-0.0356754,-0.00102847,0.999102
1719436638.378236608,1719436638.395724372,1719436638.354499820,1719436638.361887697,1719436638.366921585,1719436638.366898747,1719436638.366909240,625,548,531,625,599,622,537,513,622,621,622,621,490,623,623,622,622,626,623,492,371,533,376,299,622,622,624,624,622,297,622,273,577,502,626,619,507,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,560,625,621,620,621,621,622,622,621,621,2.63192,-4.08381,-0.211984,0.00306465,0.00151256,0.019295,0.0228853,-0.0356634,-0.00102997,0.999101
1719436638.485236608,1719436638.502724372,1719436638.462499820,1719436638.469887697,1719436638.467024673,1719436638.467000483,1719436638.467011612,625,548,532,625,599,622,537,513,621,621,622,621,490,623,623,622,622,626,623,491,372,533,376,300,622,622,624,624,622,298,622,273,577,502,626,619,506,600,625,625,623,623,622,621,622,621,622,621,625,624,232,621,624,624,560,625,621,621,621,621,622,622,621,621,2.63,-4.08082,-0.221432,0.00310394,0.00139589,0.0192452,0.0228657,-0.0356392,-0.00111354,0.999102
1719436638.594236608,1719436638.611724372,1719436638.570499820,1719436638.577887697,1719436638.566976773,1719436638.566955493,1719436638.566965436,625,547,531,625,599,622,537,512,622,621,622,621,490,623,623,622,622,626,623,491,371,533,376,300,622,622,624,624,622,298,622,273,577,503,626,620,506,600,625,625,623,623,622,621,622,621,622,621,624,624,232,621,624,624,560,625,621,620,621,621,622,622,621,621,2.62376,-4.07635,-0.215082,0.00334052,0.00154989,0.0194367,0.0228134,-0.0355989,-0.00106101,0.999105
1719436638.701236608,1719436638.718724372,1719436638.678499820,1719436638.685887697,1719436638.666997276,1719436638.666969013,1719436638.666982143,625,548,532,625,599,622,538,512,622,621,622,621,490,624,623,622,622,626,623,491,371,533,376,300,622,622,624,624,622,297,622,273,577,503,626,619,507,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,559,625,621,620,621,621,622,622,621,621,2.62975,-4.07505,-0.213594,0.00329107,0.0016289,0.019409,0.0228661,-0.0355873,-0.00104644,0.999104
1719436638.810236608,1719436638.827724372,1719436638.786499820,1719436638.793887697,1719436638.767063472,1719436638.767039040,1719436638.767050778,625,548,532,625,599,622,536,513,622,621,622,621,490,624,623,623,622,626,623,492,372,533,377,300,622,622,624,624,622,298,622,273,577,503,626,619,507,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,559,625,621,621,621,621,622,622,621,621,2.62392,-4.07296,-0.214655,0.00320714,0.00153248,0.0193615,0.0228149,-0.0355693,-0.00105792,0.999106
1719436638.917236608,1719436638.934724372,1719436638.894499820,1719436638.901887697,1719436638.866858421,1719436638.866849859,1719436638.866853543,625,547,531,625,600,622,537,513,622,621,622,621,490,623,623,622,622,626,623,492,372,533,376,300,622,622,624,624,622,298,622,273,577,502,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,232,621,624,624,559,625,621,620,621,621,622,622,621,621,2.6234,-4.07364,-0.212691,0.00325434,0.00127464,0.0192257,0.0228111,-0.0355748,-0.00104082,0.999106
1719436639.026236608,1719436639.043724372,1719436639.002499820,1719436639.010887697,1719436639.066922415,1719436639.066900924,1719436639.066911217,625,548,531,625,599,622,536,513,621,621,622,621,490,623,623,622,622,626,623,491,372,533,376,299,622,622,624,624,622,298,622,273,577,502,626,619,507,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,560,625,621,621,621,621,622,622,621,621,2.63463,-4.07381,-0.211457,0.00331944,0.00141066,0.0192589,0.0229093,-0.0355762,-0.00102654,0.999104
1719436639.133236608,1719436639.150724372,1719436639.110499820,1719436639.117887697,1719436639.167204779,1719436639.167017314,1719436639.167029399,625,548,531,625,599,622,537,512,621,621,622,621,490,624,623,622,622,626,623,491,372,533,376,299,622,622,624,624,622,297,622,273,577,502,626,619,507,600,625,625,623,623,622,621,622,621,622,621,624,624,232,621,624,624,559,625,621,620,621,621,622,622,621,621,2.63184,-4.07364,-0.210167,0.00309378,0.00155428,0.0192396,0.0228854,-0.0355744,-0.00101619,0.999104
1719436639.244236608,1719436639.261724372,1719436639.221499820,1719436639.228887697,1719436639.267098794,1719436639.267064693,1719436639.267080550,625,548,531,625,599,622,537,512,622,621,622,621,490,624,623,622,622,626,623,492,372,533,376,300,622,622,624,624,622,298,622,272,578,502,626,619,506,600,625,625,623,623,622,621,622,621,622,621,624,624,231,621,624,624,560,625,621,620,621,621,622,622,621,621,2.62932,-4.07452,-0.209254,0.00317953,0.00149547,0.019182,0.0228637,-0.0355818,-0.00100884,0.999105
