adc0_stamp,adc1_stamp,adc2_stamp,adc3_stamp,rpy_stamp,translation_stamp,quaternion_stamp,adc0_data0,adc0_data1,adc0_data2,adc0_data3,adc0_data4,adc0_data5,adc0_data6,adc0_data7,adc0_data8,adc0_data9,adc0_data10,adc0_data11,adc0_data12,adc0_data13,adc0_data14,adc0_data15,adc1_data0,adc1_data1,adc1_data2,adc1_data3,adc1_data4,adc1_data5,adc1_data6,adc1_data7,adc1_data8,adc1_data9,adc1_data10,adc1_data11,adc1_data12,adc1_data13,adc1_data14,adc1_data15,adc2_data0,adc2_data1,adc2_data2,adc2_data3,adc2_data4,adc2_data5,adc2_data6,adc2_data7,adc2_data8,adc2_data9,adc2_data10,adc2_data11,adc2_data12,adc2_data13,adc2_data14,adc2_data15,adc3_data0,adc3_data1,adc3_data2,adc3_data3,adc3_data4,adc3_data5,adc3_data6,adc3_data7,adc3_data8,adc3_data9,adc3_data10,adc3_data11,adc3_data12,adc3_data13,adc3_data14,adc3_data15,rpy_x,rpy_y,rpy_z,translation_x,translation_y,translation_z,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1719433753.2307894,1719433753.251366,1719433753.239356,1719433753.2472167,1719433753.262499,1719433753.2624848,1719433753.262491,627,627,627,626,627,623,628,628,169,406,627,626,380,625,624,624,351,629,303,476,629,218,278,169,488,552,455,320,625,170,628,170,628,446,217,629,402,327,325,627,338,414,624,491,624,627,534,360,626,626,626,626,626,626,627,627,524,507,622,622,623,627,622,622,7.78362,70.0439,4.6633,0.0108478,0.0272593,0.00141718,0.032242900000000005,0.574354,-0.00567881,0.817952
1719433753.33979,1719433753.358366,1719433753.3483558,1719433753.356217,1719433753.3625116,1719433753.362464,1719433753.362471,626,627,627,627,627,623,628,628,169,405,627,626,377,625,624,624,352,629,302,475,629,219,279,169,493,552,454,319,625,170,628,169,628,443,217,629,403,325,320,627,337,414,624,493,624,627,529,362,626,626,626,626,626,626,627,627,525,510,622,622,623,627,622,622,8.49034,70.5641,5.39347,0.0107728,0.0277561,0.00159363,0.0332592,0.578222,-0.00440721,0.815189
1719433753.4467895,1719433753.469366,1719433753.4553561,1719433753.4632163,1719433753.462558,1719433753.4624915,1719433753.4625018,626,627,627,626,627,623,628,628,169,404,627,626,373,625,624,624,348,629,300,476,629,221,280,169,499,551,455,319,625,170,628,170,628,441,216,629,404,326,316,627,338,413,624,496,624,627,523,362,626,626,626,626,626,626,627,627,524,513,622,622,623,627,622,622,9.68086,71.3102,6.7305600000000005,0.0122012,0.028611900000000006,0.0021191999999999995,0.0343494,0.583849,-0.00157411,0.811134
1719433753.5557895,1719433753.5821185,1719433753.564356,1719433753.572217,1719433753.5625448,1719433753.5625286,1719433753.5625358,627,627,627,627,627,623,628,628,169,403,627,626,369,625,624,624,349,629,299,476,629,222,281,169,505,550,455,319,625,170,628,170,628,439,215,629,404,322,312,627,337,411,624,499,624,627,515,363,626,626,626,626,626,626,627,627,523,515,622,622,623,626,622,622,10.9094,72.1977,8.16579,0.0126338,0.0288023,0.00377393,0.034853300000000004,0.590492,0.00140436,0.806289
1719433753.6627898,1719433753.6901186,1719433753.6713562,1719433753.6792164,1719433753.6625535,1719433753.6625051,1719433753.6625144,626,627,627,627,627,623,628,628,169,401,627,625,367,625,624,624,344,629,297,476,629,219,281,169,507,550,455,319,624,170,628,170,628,438,215,629,405,323,309,627,337,410,624,500,624,627,502,365,626,626,626,626,626,626,627,627,524,518,622,622,623,627,622,622,11.4824,73.2438,8.77228,0.0121463,0.0305462,0.00574844,0.034659300000000004,0.597941,0.00157322,0.8007890000000001
1719433753.7717898,1719433753.7981186,1719433753.7803562,1719433753.788217,1719433753.7624884,1719433753.7624712,1719433753.7624779,626,627,627,627,627,623,628,628,169,401,627,626,366,625,624,624,345,629,296,477,629,219,284,169,509,549,456,319,625,170,628,169,628,437,215,629,406,321,307,627,336,409,624,500,624,627,492,366,626,626,626,626,626,626,627,627,525,521,622,622,623,626,622,622,11.7119,74.1839,8.9962,0.0125967,0.0305586,0.0071452,0.034082,0.604484,0.000888546,0.795888
1719433753.8787894,1719433753.9061186,1719433753.887356,1719433753.8952167,1719433753.8625069,1719433753.8624866,1719433753.862492,626,627,627,626,627,623,628,628,169,400,627,626,365,625,624,624,344,629,295,476,629,219,284,169,512,549,457,319,625,170,628,169,628,435,214,629,406,319,304,627,335,409,624,502,624,627,485,368,626,626,626,626,626,626,627,627,526,523,622,622,623,627,622,622,12.3632,74.9167,9.6735,0.0124758,0.0315001,0.00751911,0.0341892,0.6097020000000001,0.00128537,0.791892
1719433753.98779,1719433754.0141187,1719433753.9993565,1719433754.004217,1719433753.9624655,1719433753.9624546,1719433753.9624588,627,627,627,626,627,623,628,628,169,398,627,626,363,625,624,624,342,629,294,477,629,219,285,169,517,548,458,319,625,170,628,170,628,435,215,629,407,318,301,627,335,408,624,503,624,627,475,369,626,626,626,626,626,626,627,627,526,526,622,622,623,627,622,622,13.6243,75.9899,10.9952,0.0125054,0.0312063,0.0102146,0.034485900000000014,0.61739,0.00228461,0.785898
1719433754.0947895,1719433754.1221185,1719433754.1098127,1719433754.1112163,1719433754.062613,1719433754.0625925,1719433754.0626032,626,627,627,626,627,623,628,628,169,398,627,626,363,625,624,624,342,628,293,477,629,218,286,169,521,547,458,319,625,170,628,170,628,434,215,629,408,318,299,627,334,408,624,504,624,627,469,371,626,626,626,626,626,626,627,627,527,528,622,622,623,626,622,622,14.6635,76.9062,12.0536,0.013586700000000002,0.0318363,0.0116245,0.034625800000000005,0.623873,0.00262862,0.780754
1719433754.2037895,1719433754.2301185,1719433754.2188127,1719433754.220217,1719433754.2625325,1719433754.2625055,1719433754.2625165,626,627,627,627,627,623,628,628,170,398,627,626,362,625,624,624,341,628,293,476,629,218,287,169,525,546,459,318,625,170,628,169,628,433,214,629,410,318,297,627,334,409,624,505,624,627,465,373,626,626,626,626,626,626,627,627,527,530,622,622,623,626,622,622,16.4877,78.2573,13.9558,0.014017600000000002,0.0325475,0.011533,0.0345323,0.63343,0.00345087,0.773022
1719433754.3107898,1719433754.3381186,1719433754.3268127,1719433754.3272164,1719433754.3625708,1719433754.3625572,1719433754.3625631,626,627,627,627,627,623,628,628,172,398,627,626,363,625,624,624,341,629,293,476,629,217,288,169,527,545,460,319,625,170,628,170,628,433,214,629,411,317,296,627,332,408,624,504,624,620,458,373,626,626,626,626,626,626,627,627,529,532,622,622,623,627,622,622,17.5021,79.1654,14.9534,0.0137494,0.034501800000000006,0.0138121,0.0343116,0.639677,0.00299972,0.767872
1719433754.4197898,1719433754.4461186,1719433754.4348128,1719433754.438217,1719433754.4625876,1719433754.4625595,1719433754.4625726,626,627,627,627,627,623,628,628,172,397,627,626,362,625,624,624,340,629,292,476,629,218,288,169,532,544,460,318,625,170,628,169,628,433,215,629,411,319,294,627,333,409,624,505,624,618,453,375,626,626,626,626,626,626,627,627,528,532,622,622,623,627,622,622,19.3715,79.6438,16.9102,0.0151566,0.0345519,0.0127073,0.034994800000000006,0.643413,0.00474499,0.764704
1719433754.5277898,1719433754.5541186,1719433754.5428126,1719433754.5497885,1719433754.5624998,1719433754.5624642,1719433754.5624714,627,627,627,627,627,623,628,628,171,396,627,626,360,625,624,624,341,629,292,477,629,219,289,169,536,542,461,318,624,170,628,170,628,432,215,629,411,320,293,627,332,409,624,506,624,620,452,377,626,626,626,626,626,626,627,627,529,534,622,622,623,627,622,622,20.7686,80.1432,18.3018,0.016421900000000003,0.0357471,0.0123135,0.0354774,0.6470779999999999,0.00514901,0.76158
1719433754.63579,1719433754.6621187,1719433754.6508126,1719433754.6587884,1719433754.662471,1719433754.6624591,1719433754.6624644,626,627,627,627,627,623,628,628,175,396,627,626,362,625,624,624,339,628,291,477,629,217,290,169,534,541,461,318,625,170,628,170,628,432,215,629,412,320,292,627,331,408,624,504,624,605,443,378,626,626,626,626,626,626,627,627,532,537,622,622,623,627,622,622,20.9236,81.0509,18.3133,0.0169572,0.0369025,0.013932,0.034579,0.652805,0.00246546,0.756732
1719433754.7437894,1719433754.7701185,1719433754.7588131,1719433754.7657886,1719433754.7626278,1719433754.7625241,1719433754.7625325,626,627,627,626,627,623,628,628,177,395,627,626,362,625,624,624,339,629,291,477,629,216,291,169,535,541,462,318,625,170,628,169,628,433,216,629,411,320,292,627,330,408,624,505,624,597,437,379,626,626,626,626,626,626,627,627,532,538,622,622,623,627,622,622,21.5952,81.649,18.9469,0.0157373,0.037252,0.0147514,0.0341346,0.656745,0.00154115,0.753339
1719433754.8517895,1719433754.8781185,1719433754.8668127,1719433754.8747885,1719433754.8624554,1719433754.862446,1719433754.86245,627,627,627,627,627,623,628,628,176,394,627,626,361,625,624,624,340,629,291,478,629,217,292,169,538,539,461,318,625,170,628,170,628,432,215,629,411,320,291,627,329,409,624,504,624,594,435,380,626,626,626,626,626,626,627,627,532,537,622,622,623,627,622,622,23.0967,82.0636,20.4861,0.0146964,0.0382398,0.0157668,0.0342349,0.659791,0.00209639,0.7506659999999999
1719433754.9607894,1719433754.9871185,1719433754.9748127,1719433754.9827886,1719433754.9624784,1719433754.9624646,1719433754.9624698,626,627,627,627,627,623,628,628,176,394,627,626,360,625,624,624,339,629,290,477,629,218,292,169,541,538,462,318,625,170,628,169,628,433,216,629,411,322,290,627,329,409,624,505,624,594,434,381,626,626,626,626,626,626,627,627,531,538,622,622,623,627,622,622,24.529,82.3538,21.934,0.0158216,0.0370122,0.0165155,0.034572900000000004,0.662028,0.00262118,0.748677
